"","a"
"104","4D La Cuarta"
"105","Confesión"
"106","Scarleth Cardenas"
"107","Barrio Bellavista"
"108","Arturo Merino Benitez"
"109","Fernanda Mardones"
"110","Péndulo"
"111","Felipe Joui"
"112","4D La Cuarta"
"113","Crímenes que nadie olvida"
"114","Pasemos de Largo"
"115","celos"
"116","Fútbol"
"117","Televisión"
"118","Transportes"
"119","4D La Cuarta"
"120","Confesión"
"121","Artes Marciales Mixtas"
"122","SábadoL4"
"123","andrés longton"
"124","Clarita del Río"
"125","casa embrujada"
"126","Amigas"
"127","Canal 13"
"128","Clarita del Río"
"129","Crímenes que nadie olvida"
"130","Halloween"
"131","Fútbol"
"132","Televisión"
"133","Transportes"
"134","4D La Cuarta"
"135","Confesión"
"136","Televisión"
"137","4D La Cuarta"
"138","Scarleth Cardenas"
"139","Netflix"
"140","4D La Cuarta"
"141","prevensión"
"142","Clarita del Río"
"143","Crímenes que nadie olvida"
"144","Sábado L4"
"145","10 preguntas"
"146","Fútbol"
"147","Televisión"
"148","Transportes"
"149","4D La Cuarta"
"150","Confesión"
"151","Scarleth Cardenas"
"152","Scarleth Cardenas"
"153","Clarita del Río"
"154","Congestión vial"
"155","Bomberos"
"156","Entrevista"
"157","La Cuarta Dimensión"
"158","Historia"
"159","sueños"
"160","Clarita del Río"
"161","Fútbol"
"162","Televisión"
"163","Transportes"
"164","4D La Cuarta"
"165","Confesión"
"166","4D La Cuarta"
"167","Crímenes que nadie olvida"
"168","Congreso"
"169","Concurso"
"170","Scarleth Cardenas"
"171","Actualidad"
"172","Entrevista"
"173","Internacional"
"174","10 preguntas"
"175","Crímenes que nadie olvida"
"176","Fútbol"
"177","Televisión"
"178","Transportes"
"179","4D La Cuarta"
"180","Confesión"
"181","Más que goles"
"182","Clarita del Río"
"183","4D La Cuarta"
"184","10 preguntas"
"185","Infancia"
"186","Scarleth Cardenas"
"187","Actualidad"
"188","visual"
"189","Crímenes que nadie olvida"
"190","4D La Cuarta"
"191","Fútbol"
"192","Televisión"
"193","Transportes"
"194","4D La Cuarta"
"195","Confesión"
"196","Actualidad"
"197","Actualidad"
"198","10 preguntas"
"199","visual"
"200","Educación"
"201","Congreso"
"202","Scarleth Cardenas"
"203","Clarita del Río"
"204","Fiestas Patrias"
"205","Rodeos"
"206","Fútbol"
"207","Televisión"
"208","Transportes"
"209","4D La Cuarta"
"210","Confesión"
"211","Crímenes que nadie olvida"
"212","Scarleth Cardenas"
"213","10 preguntas"
"214","Clarita del Río"
"215","4D La Cuarta"
"216","payasos"
"217","4D La Cuarta"
"218","Clarita del Río"
"219","10 preguntas"
"220","Deportes"
"221","Fútbol"
"222","Televisión"
"223","Transportes"
"224","4D La Cuarta"
"225","Confesión"
"226","Frente a Frente"
"227","Crímenes que nadie olvida"
"228","Scarleth Cardenas"
"229","Congreso"
"230","Actualidad"
"231","visual"
"232","Clarita del Río"
"233","Crímenes que nadie olvida"
"234","Actualidad"
"235","10 preguntas"
"236","Fútbol"
"237","Televisión"
"238","Transportes"
"239","4D La Cuarta"
"240","Confesión"
"241","Quintero"
"242","Abusos"
"243","4D La Cuarta"
"244","En 4 ruedas"
"245","Scarleth Cardenas"
"246","En 4 ruedas"
"247","4D La Cuarta"
"248","Clarita del Río"
"249","10 preguntas"
"250","Internacional"
"251","Fútbol"
"252","Televisión"
"253","Transportes"
"254","4D La Cuarta"
"255","Confesión"
"256","Crímenes que nadie olvida"
"257","Televisión"
"258","Aires de Sábado"
"259","Actualidad"
"260",""
"261","bellas artes"
"262","4D La Cuarta"
"263","10 preguntas"
"264","Clarita del Río"
"265","Crímenes que nadie olvida"
"266","Fútbol"
"267","Televisión"
"268","Transportes"
"269","4D La Cuarta"
"270","Confesión"
"271","Yemen"
"272","queen"
"273","museos"
"274","Scarleth Cardenas"
"275","Airbnb"
"276","Mauricio Rojas"
"277","fotografías"
"278","perfil"
"279","Aires de Sábado"
"280","Terremoto en indonesia"
"281","Fútbol"
"282","Televisión"
"283","Transportes"
"284","4D La Cuarta"
"285","Confesión"
"286","Más que goles"
"287","4D La Cuarta"
"288","Crímenes que nadie olvida"
"289","confesiones de una separada"
"290","10 preguntas"
"291","Entrevista"
"292","Nacional"
"293","visual"
"294","Vacaciones"
"295","4D La Cuarta"
"296","Fútbol"
"297","Televisión"
"298","Transportes"
"299","4D La Cuarta"
"300","Confesión"
"301","Crimen"
"302","iglesia chilena"
"303","Igualdad de género"
"304","bolsas plásticas"
"305","Mac"
"306",""
"307","honda"
"308","Legua de señas"
"309","festigame"
"310","Clarita del Río"
"311","Fútbol"
"312","Televisión"
"313","Transportes"
"314","4D La Cuarta"
"315","Confesión"
"316","animita"
"317","lenguaje inclusivo"
"318","cura"
"319","Aires de Sábado"
"320","bingo"
"321","#LibreLindayLoca"
"322","chile"
"323","cohecho"
"324","accidentes"
"325","Ciaje"
"326","Fútbol"
"327","Televisión"
"328","Transportes"
"329","4D La Cuarta"
"330","Confesión"
"331","carlos astroza"
"332","destrozo"
"333","comida de deportista"
"334","miss chile 2018"
"335","nota del tren"
"336","columna de scarleth"
"337","carabineros centro cívico"
"338",""
"339","Aires de Sábado"
"340","casa Camus"
"341","Fútbol"
"342","Televisión"
"343","Transportes"
"344","4D La Cuarta"
"345","Confesión"
"346",""
"347","aguas servidas"
"348","japoneses y chinos"
"349",""
"350","ballena"
"351","Carlos Montes"
"352","Bohemia rapsodia"
"353","eliminación"
"354","Bullying"
"355","comunidad"
"356","Fútbol"
"357","Televisión"
"358","Transportes"
"359","4D La Cuarta"
"360","Confesión"
"361","asesinos"
"362","Barco fantasma"
"363",""
"364","confesiones de una separada"
"365","Han Solo"
"366","Aculeo"
"367","Autos"
"368","Chile"
"369","E3 2018"
"370","dieta parlamentaria"
"371","Fútbol"
"372","Televisión"
"373","Transportes"
"374","4D La Cuarta"
"375","Confesión"
"376","Chile"
"377","batuco"
"378","90'"
"379","Beccacece"
"380","gabriel castellón"
"381","gamers"
"382",""
"383","Cuarta Dimensión"
"384",""
"385","fórmulas"
"386","Fútbol"
"387","Televisión"
"388","Transportes"
"389","4D La Cuarta"
"390","Confesión"
"391","Ambulantes"
"392","Cuarta Dimensión"
"393","metro"
"394",""
"395","fantasma"
"396","novicios"
"397",""
"398",""
"399","Entrenador"
"400","agua"
"401","Fútbol"
"402","Televisión"
"403","Transportes"
"404","4D La Cuarta"
"405","Confesión"
"406","agua"
"407","Chile"
"408",""
"409",""
"410","Festival"
"411","feminismo"
"412",""
"413","animitas del milagro"
"414",""
"415",""
"416","Fútbol"
"417","Televisión"
"418","Transportes"
"419","4D La Cuarta"
"420","Confesión"
"421","Reportaje"
"422",""
"423",""
"424",""
"425","cumbre guachaca"
"426","pamela jiles"
"427","chuquicamata"
"428",""
"429","cámaras del nacional"
"430","género en chile"
"431","Fútbol"
"432","Televisión"
"433","Transportes"
"434","4D La Cuarta"
"435","Confesión"
